System check identified no issues (0 silenced).
March 29, 2017 - 13:55:06
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 04:39:09] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 04:39:09] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 04:39:10] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 04:39:10] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 04:41:18] "GET /planos/ HTTP/1.1" 200 37030
[30/Mar/2017 04:41:18] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:18] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:18] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:18] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:41:18] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:41:18] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 04:41:19] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 04:41:19] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 04:41:19] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 04:41:21] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 04:42:34] "GET /planos/ HTTP/1.1" 200 37022
[30/Mar/2017 04:42:34] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:34] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:34] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:42:34] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:42:34] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:34] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 04:42:35] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 04:42:35] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 04:42:36] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 04:42:38] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 04:43:01] "GET /planos/ HTTP/1.1" 200 37029
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:02] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:03] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 04:43:03] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 04:43:03] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 04:43:03] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 04:43:03] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 04:43:03] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 04:43:03] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 04:43:07] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 04:43:07] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 04:44:49] "GET /planos/ HTTP/1.1" 200 37036
[30/Mar/2017 04:44:49] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:49] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:44:49] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:49] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:49] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:44:49] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 04:44:50] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 04:44:50] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 04:44:51] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 04:44:54] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 04:45:40] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /planos/ HTTP/1.1" 200 37067
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 04:46:20] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 04:46:21] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 04:46:21] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 04:46:21] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 04:46:22] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 04:47:12] "GET /planos/ HTTP/1.1" 200 37072
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 04:47:13] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 04:47:13] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 04:47:13] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 04:47:18] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 04:47:18] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /planos/ HTTP/1.1" 200 37076
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 04:47:51] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 04:47:52] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 04:47:52] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 04:47:52] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 04:47:52] "GET /api/planos/ HTTP/1.1" 200 1012
[30/Mar/2017 04:47:53] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 04:47:56] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /planos/ HTTP/1.1" 200 36957
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 04:48:32] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 04:48:32] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 04:48:32] "GET /api/planos/ HTTP/1.1" 200 1016
[30/Mar/2017 04:48:34] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-unchecked.png HTTP/1.1" 304 0
[30/Mar/2017 04:48:34] "GET /arquivos_estaticos/jquery/labelauty/source/images/input-checked-10x10.png HTTP/1.1" 304 0
[30/Mar/2017 05:23:53] "GET /preferencias/servicos/ HTTP/1.1" 200 39898
[30/Mar/2017 05:23:54] "GET /api/preferencias/servicos/ HTTP/1.1" 200 342
[30/Mar/2017 06:02:50] "POST /api/preferencias/novo_servico HTTP/1.1" 200 31
[30/Mar/2017 06:23:41] "POST /api/preferencias/novo_servico HTTP/1.1" 200 31
[30/Mar/2017 06:24:03] "GET /planos/ HTTP/1.1" 200 36957
[30/Mar/2017 06:24:04] "GET /api/preferencias/servicos/ HTTP/1.1" 200 600
[30/Mar/2017 06:24:04] "GET /api/planos/ HTTP/1.1" 200 1016
[30/Mar/2017 06:32:03] "GET /planos/ HTTP/1.1" 200 36957
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/jquery/jquery-2.2.0.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/jquery/jquery-ui-1.11.4/jquery-ui.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/icones/css/font-awesome.min.css HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/adminlte/css/AdminLTE.min.css HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/styles/padrao/base_format.css HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/styles/servico/plano.css HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/angular-1.5.8/angular.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/scripts/padrao/controle_botoes.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/scripts/servico/plano.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/adminlte/css/skins/skin-blue.min.css HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/adminlte/js/app.min.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/angular-1.5.8/angular-locale_pt-br.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.css HTTP/1.1" 304 0
[30/Mar/2017 06:32:03] "GET /arquivos_estaticos/jquery/labelauty/source/jquery-labelauty.js HTTP/1.1" 304 0
[30/Mar/2017 06:32:04] "GET /arquivos_estaticos/imagens/logo.png HTTP/1.1" 304 0
[30/Mar/2017 06:32:04] "GET /arquivos_estaticos/imagens/avatar5.png HTTP/1.1" 304 0
[30/Mar/2017 06:32:04] "GET /api/planos HTTP/1.1" 301 0
[30/Mar/2017 06:32:04] "GET /api/preferencias/servicos/ HTTP/1.1" 200 600
[30/Mar/2017 06:32:04] "GET /api/planos/ HTTP/1.1" 200 1023
